#OTU ID,OR-T0-1,OR-T0-2,OR-T0-3,OR-T11-1,OR-T11-2,OR-T11-3,OR-T24-1,OR-T24-2,OR-T24-3,OR-T30-1,OR-T30-2,OR-T30-3,VA-T0-1,VA-T0-2,VA-T0-3,VA-T11-1,VA-T11-2,VA-T11-3,VA-T24-1,VA-T24-2,VA-T24-3,VA-T30-1,VA-T30-2,VA-T30-3,WW-T0-1,WW-T0-2,WW-T0-3,WW-T11-1,WW-T11-2,WW-T11-3,WW-T24-1,WW-T24-2,WW-T24-3,WW-T30-1,WW-T30-2,WW-T30-3
Zotu1106,0,0,0,0,0,0,0,0,0,0,0,0,21,8,23,0,0,5,0,0,33,0,0,42,0,0,0,2,0,0,0,0,0,0,0,0
Zotu1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29,32,1,2,1,0,0,0,0,0,0
Zotu1108,16,19,2,1,0,0,2,8,10,1,0,4,0,6,1,0,10,0,2,1,0,0,1,0,2,1,1,0,1,0,1,0,1,0,0,0
Zotu1109,3,9,16,0,2,3,0,0,0,0,0,0,7,15,23,33,4,5,0,2,0,0,0,0,0,3,1,0,4,0,0,0,0,0,1,0
Zotu111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0,0,2,0,0,68,94,291,512,828,1386
Zotu1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,37,0,3,1,0,0,0,0,0,0
Zotu1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,62,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1112,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,45,36,34,2,3,1,0,0,0,0,0,0
Zotu1113,0,3,1,1,1,2,0,0,0,0,0,0,39,39,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Zotu1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,37,25,0,2,2,0,0,0,0,0,0
Zotu1115,7,40,3,0,4,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,10,12,5,0,0,0,1,1,0,0,2,7
Zotu1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,32,26,0,3,2,0,0,0,0,0,0
Zotu1117,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,4,1,77,0,0,0,0,0,1
Zotu1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,23,0,0,0,0,0,0,0,0,0
Zotu1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34,24,2,2,0,0,0,0,0,0,0
Zotu112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,0,2398,46,580,21,14,2
Zotu1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,48,1,1,49,0,3
Zotu1121,2,4,3,8,7,8,0,0,0,0,0,0,5,4,7,7,7,8,0,0,4,0,0,1,2,0,0,1,6,1,0,1,1,1,0,4
Zotu1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,33,36,1,0,0,0,0,0,0,0,0
Zotu1123,22,17,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,12,1,3,0,1,1,0,0,0,6
Zotu1124,0,0,0,0,0,0,0,0,0,0,0,0,57,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1125,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,34,7,51
Zotu1126,3,25,3,0,3,2,0,4,0,1,0,1,4,2,0,8,1,1,2,5,11,2,0,4,4,4,6,0,1,1,3,4,0,3,3,1
Zotu1127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,8,8,3,56,0,0,0,0,0,0,0,0,3,3,3,1
Zotu1128,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47,40,28,2,1,0,0,1,0,1,0,0
Zotu1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,34,25,1,4,0,0,0,0,0,0,0
Zotu113,275,346,102,0,0,0,0,0,0,0,0,1,672,1530,294,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Zotu1130,10,11,19,5,1,5,1,0,0,0,0,0,16,17,50,7,7,8,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0
Zotu1131,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,3,38,22,0,17
Zotu1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,30,12,0,0,0,0,0,0,1,0,1
Zotu1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,30,0,0,0,0,0,0,0,0,0
Zotu1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,35,28,0,0,0,0,0,0,0,0,0
Zotu1135,27,22,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,3,1,1,0,0,0,5,5,1,19,7,41
Zotu1137,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,40,0,0,15,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
