OTU,p,c,o,f,g,summay
Zotu1097,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1098,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Dyadobacter,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Dyadobacter
Zotu1099,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu11,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae g:Pseudomonas
Zotu110,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu1100,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu1101,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu1102,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Runella,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Runella
Zotu1103,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Polymorphobacter,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae g:Polymorphobacter
Zotu1104,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales  
Zotu1105,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae 
Zotu1106,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1107,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1108,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae g:Pseudomonas
Zotu1109,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu111,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Xanthobacteraceae 
Zotu1110,,,,,,    
Zotu1111,p:Cyanobacteria/Chloroplast,,,,,p:Cyanobacteria/Chloroplast    
Zotu1112,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1113,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Microbacteriaceae,,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Microbacteriaceae 
Zotu1114,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu1115,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rickettsiales  
Zotu1116,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1117,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1118,,,,,,    
Zotu1119,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu112,,,,,,    
Zotu1120,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
