OTU,p,c,o,f,g,summay
Zotu2317,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu2318,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu2319,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu232,,,,,,    
Zotu2320,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae g:Pseudomonas
Zotu2321,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu2322,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu2323,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu2324,,,,,,    
Zotu2325,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Arcicella,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Arcicella
Zotu2326,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu2327,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu2328,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu2329,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu233,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,g:Prosthecobacter,p:Verrucomicrobia c:Verrucomicrobiae o:Verrucomicrobiales f:Verrucomicrobiaceae g:Prosthecobacter
Zotu2330,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiales_incertae_sedis,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Burkholderiales_incertae_sedis 
Zotu2331,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu2332,p:Verrucomicrobia,c:Opitutae,o:Opitutales,f:Opitutaceae,g:Opitutus,p:Verrucomicrobia c:Opitutae o:Opitutales f:Opitutaceae g:Opitutus
Zotu2333,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu2334,,,,,,    
Zotu2335,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bdellovibrionaceae g:Bdellovibrio
Zotu2336,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu2337,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu2338,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae 
Zotu2339,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Methylobacteriaceae g:Methylobacterium
Zotu234,,,,,,    
Zotu2340,,,,,,    
Zotu2341,p:Actinobacteria,c:Actinobacteria,,,,p:Actinobacteria c:Actinobacteria   
Zotu2342,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Ferruginibacter,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Ferruginibacter"
Zotu2343,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Rhizobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae g:Rhizobacter
Zotu2344,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu2345,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""",f:Bacteroidaceae,g:Bacteroides,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales"" f:Bacteroidaceae g:Bacteroides"
Zotu2346,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,p:Proteobacteria c:Gammaproteobacteria o:Legionellales f:Legionellaceae g:Legionella
Zotu2347,,,,,,    
Zotu2348,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu2349,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu235,,,,,,    
Zotu2350,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu2351,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu2352,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu2353,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,,,p:Actinobacteria c:Actinobacteria o:Actinomycetales  
Zotu2354,p:Actinobacteria,c:Actinobacteria,,,,p:Actinobacteria c:Actinobacteria   
Zotu2355,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae 
Zotu2356,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,p:Proteobacteria c:Gammaproteobacteria o:Legionellales f:Legionellaceae g:Legionella
Zotu2357,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu2358,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu2359,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae 
Zotu236,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Zoogloea,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae g:Zoogloea
Zotu2360,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingopyxis,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae g:Sphingopyxis
Zotu2361,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu2362,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu2363,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu2364,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,g:Prosthecomicrobium,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Hyphomicrobiaceae g:Prosthecomicrobium
Zotu2365,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu2366,p:Verrucomicrobia,c:Spartobacteria,g:Spartobacteria_genera_incertae_sedis,,,p:Verrucomicrobia c:Spartobacteria g:Spartobacteria_genera_incertae_sedis  
Zotu2367,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu2368,p:Armatimonadetes,g:Armatimonadetes_gp5,,,,p:Armatimonadetes g:Armatimonadetes_gp5   
Zotu2369,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhodospirillales f:Acetobacteraceae 
Zotu237,p:Actinobacteria,c:Actinobacteria,o:Acidimicrobiales,,,p:Actinobacteria c:Actinobacteria o:Acidimicrobiales  
Zotu2370,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Stenotrophomonas,p:Proteobacteria c:Gammaproteobacteria o:Xanthomonadales f:Xanthomonadaceae g:Stenotrophomonas
Zotu2371,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Ferruginibacter,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Ferruginibacter"
Zotu2372,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Rhizobiaceae 
Zotu2373,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Caulobacter,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Caulobacter
Zotu2374,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Roseomonas,p:Proteobacteria c:Alphaproteobacteria o:Rhodospirillales f:Acetobacteraceae g:Roseomonas
Zotu2375,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Chryseobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Chryseobacterium"
Zotu2376,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae g:Pseudomonas
Zotu2377,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Janthinobacterium,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Janthinobacterium
Zotu2378,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Ferruginibacter,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Ferruginibacter"
Zotu2379,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,,,p:Proteobacteria c:Deltaproteobacteria o:Myxococcales  
Zotu238,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu2380,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales  
Zotu2381,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Polaromonas,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Polaromonas
Zotu2382,p:Acidobacteria,c:Holophagae,o:Holophagales,f:Holophagaceae,,p:Acidobacteria c:Holophagae o:Holophagales f:Holophagaceae 
Zotu2383,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu2384,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu2385,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu2386,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu2387,,,,,,    
Zotu2388,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bdellovibrionaceae g:Bdellovibrio
Zotu2389,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Nannocystaceae,g:Nannocystis,p:Proteobacteria c:Deltaproteobacteria o:Myxococcales f:Nannocystaceae g:Nannocystis
Zotu239,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu2390,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu2391,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Brevundimonas,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Brevundimonas
Zotu2392,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales  
Zotu2393,p:Firmicutes,c:Clostridia,o:Clostridiales,,,p:Firmicutes c:Clostridia o:Clostridiales  
Zotu2394,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Moraxellaceae g:Acinetobacter
Zotu2395,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,,,p:Actinobacteria c:Actinobacteria o:Actinomycetales  
Zotu2396,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu2397,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu2398,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""","f:""Prevotellaceae""",g:Prevotella,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales"" f:""Prevotellaceae"" g:Prevotella"
Zotu2399,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Dyadobacter,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Dyadobacter
Zotu24,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Duganella,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Duganella
Zotu240,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Zoogloea,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae g:Zoogloea
Zotu2400,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,,p:Verrucomicrobia c:Verrucomicrobiae o:Verrucomicrobiales f:Verrucomicrobiaceae 
Zotu2401,p:Cyanobacteria/Chloroplast,c:Chloroplast,f:Chloroplast,,,p:Cyanobacteria/Chloroplast c:Chloroplast f:Chloroplast  
Zotu2402,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Cloacibacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Cloacibacterium"
Zotu2403,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu2404,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu2405,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,,,p:Proteobacteria c:Deltaproteobacteria o:Myxococcales  
Zotu2406,,,,,,    
Zotu2407,p:Actinobacteria,c:Actinobacteria,,,,p:Actinobacteria c:Actinobacteria   
Zotu2408,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Terrimonas,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Terrimonas"
Zotu2409,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu241,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,,,p:Actinobacteria c:Actinobacteria o:Actinomycetales  
Zotu2410,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu2411,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae 
Zotu2412,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Alcaligenaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Alcaligenaceae 
Zotu2413,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu2414,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu2415,,,,,,    
Zotu2416,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu2417,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,,,p:Proteobacteria c:Deltaproteobacteria o:Myxococcales  
Zotu2418,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu2419,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu242,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu2420,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu2421,p:SR1,g:SR1_genera_incertae_sedis,,,,p:SR1 g:SR1_genera_incertae_sedis   
Zotu2422,p:Actinobacteria,c:Actinobacteria,o:Acidimicrobiales,f:Iamiaceae,g:Aquihabitans,p:Actinobacteria c:Actinobacteria o:Acidimicrobiales f:Iamiaceae g:Aquihabitans
Zotu2423,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae 
Zotu2424,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu2425,p:Proteobacteria,c:Gammaproteobacteria,o:Chromatiales,f:Chromatiaceae,g:Rheinheimera,p:Proteobacteria c:Gammaproteobacteria o:Chromatiales f:Chromatiaceae g:Rheinheimera
Zotu2426,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu2427,,,,,,    
Zotu2428,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu2429,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu243,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Xanthobacteraceae 
Zotu2430,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae g:Sphingomonas
Zotu2431,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu2432,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu2433,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiales_incertae_sedis,g:Inhella,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Burkholderiales_incertae_sedis g:Inhella
Zotu2434,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae g:Pseudomonas
Zotu2435,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu2436,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu2437,p:Verrucomicrobia,c:Spartobacteria,g:Spartobacteria_genera_incertae_sedis,,,p:Verrucomicrobia c:Spartobacteria g:Spartobacteria_genera_incertae_sedis  
Zotu2438,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""",f:Bacteroidaceae,g:Bacteroides,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales"" f:Bacteroidaceae g:Bacteroides"
Zotu2439,,,,,,    
Zotu244,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiaceae,g:Polynucleobacter,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Burkholderiaceae g:Polynucleobacter
Zotu2440,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Acidaminococcaceae,,p:Firmicutes c:Negativicutes o:Selenomonadales f:Acidaminococcaceae 
Zotu2441,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Lacihabitans,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Lacihabitans
Zotu2442,,,,,,    
Zotu2443,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Asticcacaulis,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Asticcacaulis
Zotu2444,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales  
Zotu2445,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,p:Proteobacteria c:Gammaproteobacteria o:Legionellales f:Legionellaceae g:Legionella
Zotu2446,p:Chlamydiae,c:Chlamydiia,o:Chlamydiales,,,p:Chlamydiae c:Chlamydiia o:Chlamydiales  
Zotu2447,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Sphingobacteriaceae,g:Pedobacter,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Sphingobacteriaceae g:Pedobacter"
Zotu2448,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae 
Zotu2449,p:Bacteroidetes,"c:""Bacteroidia""",,,,"p:Bacteroidetes c:""Bacteroidia""   "
Zotu245,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,,,p:Actinobacteria c:Actinobacteria o:Actinomycetales  
Zotu2450,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu2451,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu2452,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae 
Zotu2453,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu2454,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu2455,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Alcaligenaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Alcaligenaceae 
Zotu2456,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu2457,p:Acidobacteria,c:Acidobacteria_Gp10,,,,p:Acidobacteria c:Acidobacteria_Gp10   
Zotu2458,,,,,,    
Zotu2459,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu246,,,,,,    
Zotu2460,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,,p:Verrucomicrobia c:Verrucomicrobiae o:Verrucomicrobiales f:Verrucomicrobiaceae 
Zotu2461,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu2462,,,,,,    
Zotu2463,,,,,,    
Zotu2464,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae 
Zotu2465,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,g:Singulisphaera,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae g:Singulisphaera
Zotu2466,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu2467,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu2468,p:Verrucomicrobia,c:Spartobacteria,g:Spartobacteria_genera_incertae_sedis,,,p:Verrucomicrobia c:Spartobacteria g:Spartobacteria_genera_incertae_sedis  
Zotu2469,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu247,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Brevundimonas,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Brevundimonas
Zotu2470,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu2471,p:Verrucomicrobia,c:Spartobacteria,,,,p:Verrucomicrobia c:Spartobacteria   
Zotu2472,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,,,p:Actinobacteria c:Actinobacteria o:Actinomycetales  
Zotu2473,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""","f:""Porphyromonadaceae""",g:Paludibacter,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales"" f:""Porphyromonadaceae"" g:Paludibacter"
